dataset,modelId,label,action,outcome,result,entryScore,confidence,grade,risk,distanceAtCommit
Genesis-019,meta_judge,Meta Judge,SKIP,UNDER,skipped,28,72,C,Low,-56.2699999999968
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,v31_active,V31 Active,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,late_catch,Late Catch,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,41,59,D,Low,-19.339999999996508
Genesis-019,core_v30,Core V30,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,v31_active,V31 Active,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,v32_regime,V32 Regime,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,v33_pro,V33 Pro Trader,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,six_minute_commit,6m Commit,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,late_catch,Late Catch,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,trend_continuation,Trend Follow,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,96,78,A+,Low,84.32999999999447
Genesis-019,odds_pressure,Odds Pressure,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,meta_judge,Meta Judge,OVER,OVER,win,96,78,A+,Low,84.32999999999447
Genesis-019,core_v30,Core V30,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,v31_active,V31 Active,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,v32_regime,V32 Regime,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,v33_pro,V33 Pro Trader,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,six_minute_commit,6m Commit,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,late_catch,Late Catch,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,81,78,B+,Low,30.5199999999968
Genesis-019,snapback_reversal,Snapback Guard,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,odds_pressure,Odds Pressure,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,meta_judge,Meta Judge,OVER,OVER,win,81,78,B+,Low,30.5199999999968
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,76,74,B,Low,35.0199999999968
Genesis-019,v31_active,V31 Active,OVER,OVER,win,76,74,B,Low,35.0199999999968
Genesis-019,v32_regime,V32 Regime,OVER,OVER,win,76,74,B,Low,35.0199999999968
Genesis-019,v33_pro,V33 Pro Trader,OVER,OVER,win,76,74,B,Low,35.0199999999968
Genesis-019,six_minute_commit,6m Commit,OVER,OVER,win,76,74,B,Low,35.0199999999968
Genesis-019,late_catch,Late Catch,OVER,OVER,win,76,74,B,Low,35.0199999999968
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,76,74,B,Low,35.0199999999968
Genesis-019,snapback_reversal,Snapback Guard,OVER,OVER,win,76,74,B,Low,35.0199999999968
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,76,74,B,Low,35.0199999999968
Genesis-019,meta_judge,Meta Judge,OVER,OVER,win,76,74,B,Low,35.0199999999968
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,v31_active,V31 Active,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,late_catch,Late Catch,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,48,48,F,Low,3.6600000000034925
Genesis-019,core_v30,Core V30,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,v31_active,V31 Active,UNDER,OVER,loss,23,65,B,Medium,-11.059999999997672
Genesis-019,v32_regime,V32 Regime,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,v33_pro,V33 Pro Trader,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,six_minute_commit,6m Commit,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,late_catch,Late Catch,UNDER,OVER,loss,23,65,B,Medium,-11.059999999997672
Genesis-019,trend_continuation,Trend Follow,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,snapback_reversal,Snapback Guard,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,odds_pressure,Odds Pressure,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,meta_judge,Meta Judge,SKIP,OVER,skipped,23,65,B,Medium,-11.059999999997672
Genesis-019,core_v30,Core V30,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,v31_active,V31 Active,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,v32_regime,V32 Regime,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,v33_pro,V33 Pro Trader,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,six_minute_commit,6m Commit,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,late_catch,Late Catch,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,trend_continuation,Trend Follow,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,snapback_reversal,Snapback Guard,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,odds_pressure,Odds Pressure,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,meta_judge,Meta Judge,SKIP,UNDER,skipped,42,45,F,Medium,-1.3499999999985448
Genesis-019,core_v30,Core V30,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,v31_active,V31 Active,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,v32_regime,V32 Regime,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,v33_pro,V33 Pro Trader,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,six_minute_commit,6m Commit,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,late_catch,Late Catch,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,trend_continuation,Trend Follow,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,snapback_reversal,Snapback Guard,SKIP,UNDER,skipped,94,78,A,Low,86.88999999999942
Genesis-019,odds_pressure,Odds Pressure,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,meta_judge,Meta Judge,OVER,UNDER,loss,94,78,A,Low,86.88999999999942
Genesis-019,core_v30,Core V30,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,v31_active,V31 Active,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,v32_regime,V32 Regime,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,v33_pro,V33 Pro Trader,OVER,OVER,win,85,78,A,Low,67.11000000000058
Genesis-019,six_minute_commit,6m Commit,OVER,OVER,win,85,78,A,Low,67.11000000000058
